id,created_at,store_name,market_name
10533,2022-05-01 00:06:42.451041,Vancouver ReStore,"Portland, OR"
10534,2022-05-01 00:54:40.821120,Northridge Discovery Shop,"Los Angeles / Long Beach, CA"
10535,2022-05-01 01:50:48.205120,SVDP Omaha Papillion Store,"Omaha, NE"
10536,2022-05-01 02:20:46.589559,Bonita Springs ReStore,"Fort Myers, FL"
10537,2022-05-01 07:48:01.935131,ThriftSmart,"Nashville, TN"
10538,2022-05-01 08:24:49.798672,Columbia ReStore,"Baltimore, MD"
10539,2022-05-01 10:58:19.330178,Greater Cleveland Habitat for Humanity ,"Cleveland, OH"
10540,2022-05-01 11:19:04.139142,Central Delaware Habitat for Humanity ReStore,"Camden, DE"
10541,2022-05-01 12:06:49.772141,Habitat for Humanity Greater Boston - West Roxbury,"Boston, MA"
10542,2022-05-01 12:08:06.515380,,
